"RANK","NAME","TEAM","POS","AGE","GP","MPG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PPG","RPG","APG","SPG","BPG","TPG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"1","Joel Embiid","Phi","C-F","29","61","34.7","37.3","14.6","728","0.856","1050","0.581","185","0.341","0.57","0.653","33.3","10.2","4.2","1.1","1.7","3.5","43.5","37.5","47.7","13","124.3","103.6"
"2","Luka Doncic","Dal","F-G","24.1","60","36.4","38.3","14.3","659","0.737","848","0.584","488","0.346","0.56","0.61","33.1","8.7","8.2","1.4","0.5","3.7","41.7","41.2","49.9","14.6","120","108.7"
"3","Damian Lillard","Por","G","32.7","58","36.3","33.9","13.7","558","0.914","544","0.574","658","0.371","0.564","0.645","32.2","4.8","7.3","0.9","0.3","3.3","36.9","39.5","44.3","11.5","127.1","116.8"
"4","Shai Gilgeous-Alexander","Okc","G-F","24.7","64","35.5","32.9","12.4","686","0.904","1144","0.532","157","0.35","0.532","0.625","31.3","4.8","5.4","1.7","1","2.9","36.1","36.7","41.5","10.5","124.5","109.7"
"5","Giannis Antetokounmpo","Mil","F","28.3","59","32.2","38.8","16.1","725","0.647","1036","0.592","165","0.285","0.569","0.604","31.1","11.8","5.6","0.8","0.8","3.9","42.9","36.7","48.5","15.8","116.7","99.7"
"6","Jayson Tatum","Bos","F-G","25.1","69","37.3","32.9","12.2","585","0.853","825","0.552","648","0.344","0.536","0.6","30.1","8.9","4.7","1","0.7","3","39","34.8","43.7","11.6","117.4","107.1"
"7","Kevin Durant","Bro","F","34.5","39","36","31.5","15.6","285","0.937","545","0.622","189","0.376","0.607","0.674","29.7","6.7","5.3","0.8","1.5","3.5","36.4","35","41.7","11.3","122.5","110.8"
"8","Stephen Curry","Gol","G","35","50","34.9","30.9","14.1","254","0.913","436","0.587","569","0.425","0.616","0.658","29.4","6.2","6.3","0.9","0.3","3.3","35.6","35.7","41.9","12","122.8","111.9"
"9","LeBron James","Lal","F","38.2","48","35.9","33.3","12.4","303","0.762","744","0.589","327","0.306","0.549","0.584","29.3","8.4","6.9","0.9","0.5","3.2","37.7","36.2","44.6","13.3","114.9","110.2"
"10","Devin Booker","Pho","G","26.4","47","34.5","32.1","11.5","306","0.846","686","0.555","277","0.368","0.555","0.604","28.2","4.6","5.4","0.9","0.4","2.7","32.8","33.7","38.3","10.3","119.4","109.6"
"11","Donovan Mitchell","Cle","G","26.5","64","35.5","31.7","11.3","333","0.868","702","0.56","596","0.379","0.564","0.607","27.4","4.2","4.5","1.5","0.4","2.6","31.6","31.9","36.1","9","118","106.9"
"12","Kyrie Irving","Bro","G","31","40","36.9","29.7","10","179","0.883","471","0.569","348","0.374","0.565","0.604","27.1","5.1","5.3","1","0.8","2.3","32.2","32.4","37.5","9.8","118.2","111.7"
"13","Jaylen Brown","Bos","G-F","26.4","63","36.1","31.3","12.5","338","0.769","832","0.578","464","0.343","0.555","0.588","27","7","3.4","1.1","0.4","2.9","33.9","30.4","37.3","9.6","110.9","106.4"
"14","Kyrie Irving","Dal","G","31","15","37.5","28.5","9.7","78","0.936","170","0.571","119","0.387","0.574","0.626","27","5.3","5.9","1.1","0.5","2.1","32.3","32.9","38.2","10.1","125.8","111.2"
"15","Mikal Bridges","Bro","F","26.6","20","34.7","29.2","8.8","133","0.91","232","0.543","131","0.412","0.57","0.635","26.8","4.6","2.6","0.9","0.7","1.8","31.3","29.3","33.9","7.9","122.1","114.8"
"16","Ja Morant","Mem","G","23.6","56","32","35.3","13.9","471","0.747","860","0.516","276","0.312","0.504","0.558","26.8","5.8","8.1","1.1","0.3","3.3","32.6","34.8","40.7","13.5","115.2","109.2"
"17","Kevin Durant","Pho","F","34.5","3","32.7","24.1","12.4","17","0.882","29","0.759","13","0.538","0.774","0.808","26.7","7.3","3.7","0.3","1.3","2","34","30.3","37.7","11","145","111.3"
"18","Trae Young","Atl","G","24.5","68","34.6","33.1","17.4","586","0.887","878","0.479","437","0.343","0.491","0.576","26.6","3.1","10","1.1","0.1","4.1","29.7","36.6","39.7","10.8","116.6","117.2"
"19","Zion Williamson","Nor","F","22.7","29","33","30.3","17.4","248","0.714","450","0.618","19","0.368","0.615","0.652","26","7","4.6","1.1","0.6","3.4","33","30.6","37.6","11.4","120.3","108.3"
"20","Anthony Davis","Lal","F-C","30","49","33.8","28.6","11.8","383","0.786","771","0.591","69","0.261","0.575","0.628","25.9","12.4","2.6","1","2","2.3","38.3","28.4","40.9","11.1","123.7","104.5"
"21","Lauri Markkanen","Uta","F-C","25.8","64","34.4","26.4","10.1","381","0.871","609","0.591","493","0.4","0.595","0.647","25.7","8.6","1.9","0.6","0.6","1.9","34.3","27.5","36.2","8.7","126.5","112.8"
"22","Julius Randle","Nyk","F-C","28.3","75","35.9","29.5","13.1","526","0.757","782","0.552","626","0.343","0.536","0.582","25.4","10.1","4.2","0.6","0.3","2.8","35.5","29.6","39.7","11.4","117","106"
"23","De'Aaron Fox","Sac","G","25.3","66","33.8","30","12.4","407","0.771","877","0.582","327","0.339","0.562","0.603","25.3","4.2","6.1","1.2","0.3","2.6","29.4","31.3","35.5","10.2","118.9","112"
"24","Zach LaVine","Chi","G-F","28","70","36.3","28.2","12.5","393","0.85","764","0.55","506","0.385","0.561","0.61","25.1","4.6","4.1","0.9","0.2","2.6","29.7","29.3","33.9","8.6","115.9","111.1"
"25","DeMar DeRozan","Chi","G-F","33.6","67","36.5","27.9","10.7","489","0.869","1067","0.528","120","0.342","0.526","0.597","25","4.7","5.1","1.1","0.5","2.1","29.7","30.1","34.8","9.2","119.5","109.1"
"26","Nikola Jokic","Den","C","28.1","66","33.9","27.3","18.9","401","0.823","847","0.675","146","0.39","0.662","0.703","24.9","11.8","9.9","1.3","0.6","3.5","36.7","34.8","46.6","16.8","135.9","105.6"
"27","Anthony Edwards","Min","G","21.6","72","36","29.7","14.7","380","0.766","866","0.515","529","0.369","0.529","0.566","24.6","5.8","4.4","1.6","0.7","3.3","30.4","29","34.8","9.5","106","110.2"
"28","Pascal Siakam","Tor","F","29","65","37.5","27.3","11.7","445","0.764","940","0.515","266","0.335","0.512","0.562","24.2","7.8","5.9","0.8","0.5","2.5","32","30.2","38","11.1","117.6","108.8"
"29","Brandon Ingram","Nor","F","25.6","37","33.2","30.7","14.7","208","0.88","525","0.499","148","0.399","0.521","0.578","23.9","5","5.4","0.6","0.4","3.1","28.9","29.3","34.3","10.4","111.2","108.2"
"30","Jalen Brunson","Nyk","G","26.6","65","35","27","10.4","378","0.833","828","0.517","304","0.411","0.544","0.595","23.8","3.6","6.2","0.9","0.2","2","27.4","30","33.5","9.3","124.8","112.2"
"31","Paul George","Lac","F","32.9","56","34.6","29.5","14.9","294","0.871","578","0.521","426","0.371","0.536","0.588","23.8","6.1","5.1","1.5","0.4","3.1","29.9","28.9","35","10.5","113","107.3"
"32","Kawhi Leonard","Lac","F","31.7","46","33.6","26.9","9","249","0.867","551","0.552","215","0.409","0.569","0.621","23.7","6.3","3.9","1.5","0.5","1.7","30","27.6","33.9","9.9","125.2","111"
"33","LaMelo Ball","Cha","G","21.6","36","35.2","29.9","15.2","121","0.843","338","0.45","383","0.376","0.51","0.541","23.3","6.4","8.4","1.3","0.3","3.6","29.7","31.7","38.1","12.2","108.4","108.5"
"34","Bradley Beal","Was","G","29.7","50","33.5","29.3","14.2","228","0.842","659","0.552","219","0.365","0.551","0.593","23.2","3.9","5.4","0.9","0.7","2.9","27.1","28.6","32.5","9.4","114.1","113.6"
"35","Kristaps Porzingis","Was","F-C","27.7","64","32.6","27.6","12","415","0.851","646","0.556","351","0.382","0.562","0.624","23","8.3","2.6","0.9","1.5","2.1","31.3","25.6","34","9.7","121.4","107.1"
"36","Jimmy Butler","Mia","F","33.5","60","33.4","25.8","10.5","525","0.85","741","0.553","97","0.351","0.55","0.64","22.8","5.9","5.1","1.9","0.4","1.6","28.7","27.9","33.9","10.6","134.3","111.2"
"37","Jalen Green","Hou","G","21.1","69","34.1","28.2","13","403","0.794","722","0.471","514","0.339","0.486","0.538","22.1","3.8","3.6","0.8","0.3","2.7","25.9","25.6","29.4","7.9","108.4","119"
"38","Keldon Johnson","San","F-G","23.5","61","32.8","27.8","10.9","317","0.748","680","0.524","392","0.332","0.514","0.553","22","5.1","2.9","0.7","0.2","2.1","27.1","24.8","29.9","8.4","108.1","117.9"
"39","Darius Garland","Cle","G","23.2","65","35.2","26.9","15.2","309","0.858","657","0.498","395","0.413","0.543","0.593","21.7","2.7","7.8","1.3","0.1","2.9","24.4","29.5","32.2","8.8","118.6","108.8"
"40","Klay Thompson","Gol","G","33.1","64","33.1","26.4","9","126","0.873","486","0.471","671","0.407","0.552","0.572","21.7","4.2","2.4","0.7","0.4","1.8","25.9","24.1","28.3","7.3","108.7","114.4"
"41","Bojan Bogdanovic","Det","F","33.9","59","32.1","25.8","13.3","303","0.884","529","0.539","353","0.411","0.57","0.627","21.6","3.8","2.6","0.6","0.1","2.3","25.4","24.2","27.9","7.4","117.8","117.3"
"42","James Harden","Phi","G","33.6","53","36.9","25.3","18.7","346","0.867","388","0.497","389","0.383","0.536","0.61","21.4","6.3","10.8","1.2","0.5","3.4","27.7","32.2","38.6","12.3","124","110.2"
"43","Desmond Bane","Mem","G","24.8","52","31.2","26.2","11.7","179","0.888","473","0.529","362","0.409","0.565","0.604","21.2","5","4.2","0.9","0.4","2.1","26.2","25.4","30.4","9.8","118.7","106.8"
"44","Kyle Kuzma","Was","F","27.7","64","35","28","14.3","237","0.73","661","0.533","481","0.333","0.518","0.544","21.2","7.2","3.7","0.6","0.5","3","28.4","24.9","32.2","9.4","103","111.6"
"45","Terry Rozier","Cha","G","29","63","35.3","26.9","10.1","220","0.809","683","0.48","505","0.327","0.484","0.517","21.1","4.1","5.1","1.2","0.3","2.1","25.2","26.2","30.3","8.6","106.1","114.5"
"46","Anfernee Simons","Por","G","23.8","62","35","25.2","10.9","179","0.894","483","0.528","562","0.377","0.548","0.581","21.1","2.6","4.1","0.7","0.2","2.1","23.7","25.1","27.7","7","113.6","116.8"
"47","CJ McCollum","Nor","G","31.5","67","35.1","26.7","12.3","212","0.788","716","0.471","489","0.384","0.514","0.541","21","4.5","5.9","0.9","0.5","2.5","25.4","26.9","31.4","9.4","109.6","111.2"
"48","Bam Adebayo","Mia","C-F","25.7","70","35.2","25.5","14.7","386","0.803","1050","0.548","12","0.083","0.543","0.594","20.9","9.3","3.3","1.2","0.9","2.6","30.2","24.2","33.5","9.8","115.6","105.4"
"49","Jordan Clarkson","Uta","G","30.8","61","32.6","27.8","15.3","245","0.816","572","0.53","459","0.338","0.519","0.558","20.8","4","4.4","0.5","0.2","3","24.9","25.3","29.3","8.8","109","116"
"50","Tyrese Haliburton","Ind","G","23.1","56","33.6","24","14.4","203","0.867","439","0.572","402","0.4","0.586","0.624","20.7","3.7","10.4","1.6","0.4","2.5","24.4","31.2","34.8","11","128.9","118.5"
"51","Jerami Grant","Por","F","29","63","35.6","22.9","11.3","342","0.813","554","0.523","359","0.401","0.554","0.606","20.5","4.5","2.4","0.8","0.8","1.8","25","22.9","27.3","6.8","117.7","115.3"
"52","Karl-Anthony Towns","Min","C-F","27.4","23","33.4","25.4","17.4","108","0.889","208","0.587","129","0.341","0.558","0.614","20.5","7.9","5.1","0.9","0.6","3.1","28.4","25.6","33.5","11.2","116.2","104.7"
"53","Tyrese Maxey","Phi","G","22.4","55","33.4","24.5","8","196","0.842","508","0.512","340","0.426","0.563","0.599","20.4","2.9","3.5","0.8","0.1","1.3","23.3","23.9","26.8","7.1","119.2","111.5"
"54","Dejounte Murray","Atl","G","26.5","68","36.4","24.5","10.8","174","0.828","854","0.504","365","0.348","0.509","0.535","20.4","5.3","6.2","1.5","0.3","2.2","25.7","26.5","31.9","9.6","111.1","115.3"
"55","Jordan Poole","Gol","G","23.8","76","30.5","29","16.7","378","0.873","603","0.522","592","0.333","0.511","0.57","20.4","2.7","4.6","0.8","0.2","3.1","23.1","25","27.7","8.3","107.9","112"
"56","Tyler Herro","Mia","G","23.2","61","35.2","25.6","12.7","169","0.929","527","0.495","493","0.377","0.529","0.565","20.3","5.6","4.3","0.8","0.3","2.4","25.8","24.5","30.1","9","108.9","111.6"
"57","Kelly Oubre Jr.","Cha","F-G","27.3","48","32.2","26.5","7.2","208","0.76","480","0.51","339","0.319","0.497","0.534","20.3","5.2","1.1","1.4","0.4","1.3","25.4","21.4","26.6","6.1","106.5","109.1"
"58","Jamal Murray","Den","G","26.1","60","33","26.4","12","206","0.825","579","0.489","397","0.398","0.533","0.567","20.2","4","6.2","1","0.2","2.2","24.2","26.3","30.4","9.6","115.9","114"
"59","Cade Cunningham","Det","G","21.5","12","33.4","29.9","14.8","43","0.837","163","0.466","61","0.279","0.453","0.492","19.9","6.2","6","0.8","0.6","3.3","26.1","25.9","32.1","10.8","100.1","112.5"
"60","Paolo Banchero","Orl","F","20.4","68","33.8","27.4","14.8","497","0.744","795","0.47","267","0.288","0.461","0.527","19.8","6.7","3.7","0.9","0.5","2.7","26.5","23.5","30.2","9.3","104.9","110"
"61","Fred VanVleet","Tor","G","29.1","63","36.9","23.3","11","259","0.896","475","0.455","556","0.351","0.493","0.545","19.8","4.2","7.1","1.7","0.6","2","24","26.9","31","9.1","117.3","110.1"
"62","RJ Barrett","Nyk","F-G","22.8","68","34","26.2","12.3","365","0.748","731","0.494","362","0.318","0.488","0.534","19.7","5.1","2.7","0.4","0.2","2.3","24.8","22.4","27.5","7.6","107.4","110.9"
"63","Domantas Sabonis","Sac","F-C","26.9","72","34.9","21.3","19.6","399","0.762","780","0.633","79","0.354","0.624","0.665","19.1","12.5","7.3","0.8","0.5","2.9","31.6","26.4","38.9","13.8","132.6","105.8"
"64","Jrue Holiday","Mil","G","32.8","62","32.7","24.6","15.9","164","0.866","553","0.535","383","0.379","0.549","0.58","18.9","4.9","7.3","1.2","0.4","2.9","23.8","26.2","31.1","10.7","117.3","108.7"
"65","Franz Wagner","Orl","F","21.6","74","33","23.4","13.1","297","0.835","702","0.551","336","0.36","0.548","0.593","18.7","4.1","3.6","0.9","0.2","2.1","22.8","22.3","26.4","7.9","115.4","111.2"
"66","D'Angelo Russell","Lal","G","27.1","11","30.5","24.4","13.5","38","0.816","77","0.545","76","0.395","0.569","0.604","18.6","3.1","6.4","0.6","0.6","2.2","21.7","25","28.1","9.4","120","113.8"
"67","Devin Vassell","San","G-F","22.6","38","31","24.5","8.7","100","0.78","329","0.48","266","0.387","0.525","0.55","18.5","3.9","3.6","1.1","0.4","1.5","22.4","22.1","26","8.2","110.2","118.6"
"68","Kevin Porter Jr.","Hou","G-F","22.9","53","34","24.4","18.3","234","0.778","453","0.497","329","0.347","0.506","0.55","18.4","5.5","5.9","1.3","0.3","3.3","23.9","24.2","29.8","9.9","109.7","114.6"
"69","Deandre Ayton","Pho","C","24.7","61","30.4","23.4","11.8","181","0.751","803","0.598","24","0.292","0.593","0.616","18.3","10.1","1.8","0.6","0.8","1.8","28.5","20.1","30.3","9.1","119","105"
"70","Jaren Jackson Jr.","Mem","F-C","23.5","57","28.2","24.2","11.4","270","0.781","472","0.591","254","0.335","0.56","0.606","18","6.7","0.9","1.1","3.1","1.6","24.6","18.9","25.5","6.8","117.2","100"
"71","Myles Turner","Ind","C-F","27","62","29.4","22.1","12.3","276","0.783","484","0.638","250","0.372","0.611","0.651","18","7.5","1.4","0.6","2.3","1.7","25.5","19.4","26.9","7.8","121.7","107.3"
"72","D'Angelo Russell","Min","G","27.1","54","32.9","22.8","16.8","167","0.856","348","0.546","378","0.392","0.567","0.605","17.9","3.1","6.2","1.1","0.4","2.7","21","24.1","27.1","8.5","115.5","113.1"
"73","Spencer Dinwiddie","Dal","G","30","53","34.1","21.9","11.4","207","0.821","353","0.504","341","0.405","0.555","0.599","17.7","3.1","5.2","0.7","0.3","1.7","20.8","23","26.1","7.7","120.9","113.7"
