season,player,class
1980-81,Adrian Dantley,2
1980-81,Artis Gilmore,2
1980-81,Bernard King,2
1980-81,Bob Lanier,2
1980-81,Bobby Jones,2
1980-81,Caldwell Jones,2
1980-81,Dennis Johnson,2
1980-81,George Gervin,2
1980-81,George Johnson,2
1980-81,Jack Sikma,2
1980-81,Jamaal Wilkes,2
1980-81,James Silas,2
1980-81,Julius Erving,4
1980-81,Kareem Abdul-Jabbar,2
1980-81,Kelvin Ransey,2
1980-81,Larry Bird,4
1980-81,Magic Johnson,2
1980-81,Marques Johnson,2
1980-81,Michael Cooper,2
1980-81,Micheal Ray Richardson,2
1980-81,Mike Mitchell,2
1980-81,Moses Malone,2
1980-81,Norm Nixon,2
1980-81,Otis Birdsong,2
1980-81,Phil Ford,2
1980-81,Quinn Buckner,2
1980-81,Reggie Theus,2
1980-81,Robert Parish,2
1980-81,Tiny Archibald,2
1980-81,Truck Robinson,2
1980-81,Walter Davis,2
1981-82,Adrian Dantley,2
1981-82,Alex English,2
1981-82,Bernard King,2
1981-82,Buck Williams,2
1981-82,Dan Issel,2
1981-82,Dan Roundfield,2
1981-82,Dennis Johnson,2
1981-82,George Gervin,2
1981-82,Gus Williams,2
1981-82,Isiah Thomas,2
1981-82,Jack Sikma,2
1981-82,Jamaal Wilkes,2
1981-82,Jay Vincent,2
1981-82,Julius Erving,2
1981-82,Kareem Abdul-Jabbar,2
1981-82,Kelly Tripucka,2
1981-82,Larry Bird,4
1981-82,Magic Johnson,2
1981-82,Marques Johnson,2
1981-82,Michael Cooper,2
1981-82,Moses Malone,4
1981-82,Mychal Thompson,2
1981-82,Ray Williams,2
1981-82,Robert Parish,2
1981-82,Sidney Moncrief,2
1982-83,Alex English,2
1982-83,Alton Lister,2
1982-83,Artis Gilmore,2
1982-83,Bernard King,2
1982-83,Buck Williams,2
1982-83,Dan Roundfield,2
1982-83,George Gervin,2
1982-83,Gus Williams,2
1982-83,Isiah Thomas,2
1982-83,Jack Sikma,2
1982-83,Jeff Ruland,2
1982-83,Julius Erving,2
1982-83,Kareem Abdul-Jabbar,2
1982-83,Kiki Vandeweghe,2
1982-83,Larry Bird,4
1982-83,Larry Drew,2
1982-83,Magic Johnson,4
1982-83,Marques Johnson,2
1982-83,Maurice Lucas,2
1982-83,Moses Malone,4
1982-83,Norm Nixon,2
1982-83,Sidney Moncrief,2
1982-83,Terry Cummings,2
1983-84,Adrian Dantley,2
1983-84,Bernard King,4
1983-84,Bill Laimbeer,2
1983-84,Isiah Thomas,2
1983-84,Jeff Ruland,2
1983-84,Julius Erving,2
1983-84,Kareem Abdul-Jabbar,2
1983-84,Larry Bird,4
1983-84,Magic Johnson,4
1983-84,Mark Aguirre,2
1983-84,Marques Johnson,2
1983-84,Moses Malone,2
1983-84,Rickey Green,2
1983-84,Sidney Moncrief,2
1983-84,World B. Free,2
1984-85,Alex English,2
1984-85,Andrew Toney,2
1984-85,Bernard King,2
1984-85,Calvin Natt,2
1984-85,Clyde Drexler,2
1984-85,Dominique Wilkins,2
1984-85,Hakeem Olajuwon,2
1984-85,Isiah Thomas,2
1984-85,Jack Sikma,2
1984-85,Julius Erving,2
1984-85,Kareem Abdul-Jabbar,2
1984-85,Larry Bird,4
1984-85,Magic Johnson,2
1984-85,Mark Eaton,2
1984-85,Michael Jordan,2
1984-85,Micheal Ray Richardson,2
1984-85,Moses Malone,2
1984-85,Paul Pressey,2
1984-85,Purvis Short,2
1984-85,Ralph Sampson,2
1984-85,Sidney Moncrief,2
1984-85,Terry Cummings,2
1984-85,World B. Free,2
1985-86,Adrian Dantley,2
1985-86,Alex English,2
1985-86,Alvin Robertson,2
1985-86,Buck Williams,2
1985-86,Charles Barkley,2
1985-86,Dennis Johnson,2
1985-86,Dominique Wilkins,4
1985-86,Hakeem Olajuwon,2
1985-86,Isiah Thomas,2
1985-86,James Worthy,2
1985-86,Kareem Abdul-Jabbar,2
1985-86,Kevin McHale,2
1985-86,Larry Bird,4
1985-86,Magic Johnson,2
1985-86,Moses Malone,2
1985-86,Paul Pressey,2
1985-86,Sidney Moncrief,2
1985-86,Terry Cummings,2
1986-87,Alex English,2
1986-87,Charles Barkley,2
1986-87,Dominique Wilkins,2
1986-87,Fat Lever,2
1986-87,Hakeem Olajuwon,2
1986-87,Isiah Thomas,2
1986-87,Joe Barry Carroll,2
1986-87,Karl Malone,2
1986-87,Kevin McHale,2
1986-87,Larry Bird,2
1986-87,Magic Johnson,4
1986-87,Mark Aguirre,2
1986-87,Michael Jordan,4
1986-87,Moses Malone,2
1986-87,Robert Parish,2
1986-87,Rolando Blackman,2
1986-87,Steve Johnson,2
1987-88,Adrian Dantley,2
1987-88,Alex English,2
1987-88,Buck Williams,2
1987-88,Charles Barkley,2
1987-88,Clyde Drexler,2
1987-88,Dominique Wilkins,2
1987-88,Fat Lever,2
1987-88,Hakeem Olajuwon,2
1987-88,Isiah Thomas,2
1987-88,John Stockton,2
1987-88,Karl Malone,2
1987-88,Larry Bird,4
1987-88,Magic Johnson,4
1987-88,Mark Aguirre,2
1987-88,Mark Jackson,2
1987-88,Michael Adams,2
1987-88,Michael Jordan,4
1988-89,Brad Daugherty,2
1988-89,Charles Barkley,2
1988-89,Chris Mullin,2
1988-89,Hakeem Olajuwon,2
1988-89,Isiah Thomas,2
1988-89,Joe Dumars,2
1988-89,John Stockton,2
1988-89,Karl Malone,4
1988-89,Kevin Johnson,2
1988-89,Larry Nance,2
1988-89,Magic Johnson,4
1988-89,Mark Eaton,2
1988-89,Mark Price,2
1988-89,Michael Jordan,4
1988-89,Moses Malone,2
1988-89,Patrick Ewing,2
1988-89,Robert Parish,2
1988-89,Terry Cummings,2
1988-89,Tom Chambers,2
1989-90,Buck Williams,0
1989-90,Charles Barkley,4
1989-90,Clyde Drexler,0
1989-90,David Robinson,0
1989-90,Hakeem Olajuwon,0
1989-90,Isiah Thomas,0
1989-90,Joe Dumars,0
1989-90,John Stockton,0
1989-90,Karl Malone,0
1989-90,Larry Bird,0
1989-90,Magic Johnson,4
1989-90,Michael Jordan,4
1989-90,Patrick Ewing,0
1989-90,Tom Chambers,0
1990-91,Bernard King,0
1990-91,Charles Barkley,0
1990-91,Clyde Drexler,0
1990-91,David Robinson,4
1990-91,Dominique Wilkins,0
1990-91,Hakeem Olajuwon,0
1990-91,Isiah Thomas,0
1990-91,Joe Dumars,0
1990-91,John Stockton,0
1990-91,Karl Malone,0
1990-91,Kenny Smith,0
1990-91,Kevin Johnson,0
1990-91,Kevin McHale,0
1990-91,Larry Bird,0
1990-91,Magic Johnson,4
1990-91,Michael Jordan,1
1990-91,Patrick Ewing,0
1990-91,Robert Parish,0
1990-91,Terry Porter,0
1990-91,Tim Hardaway,0
1991-92,Brad Daugherty,0
1991-92,Charles Barkley,0
1991-92,Chris Mullin,0
1991-92,Clyde Drexler,4
1991-92,Danny Manning,0
1991-92,David Robinson,4
1991-92,Dennis Rodman,0
1991-92,Detlef Schrempf,0
1991-92,John Stockton,0
1991-92,Karl Malone,0
1991-92,Kevin Johnson,0
1991-92,Larry Bird,0
1991-92,Mark Price,0
1991-92,Michael Jordan,1
1991-92,Patrick Ewing,0
1991-92,Scottie Pippen,0
1991-92,Tim Hardaway,0
1992-93,Brad Daugherty,0
1992-93,Charles Barkley,1
1992-93,Clyde Drexler,0
1992-93,David Robinson,0
1992-93,Dominique Wilkins,0
1992-93,Hakeem Olajuwon,4
1992-93,Joe Dumars,0
1992-93,John Stockton,0
1992-93,Karl Malone,0
1992-93,Mark Price,0
1992-93,Michael Jordan,4
1992-93,Patrick Ewing,4
1992-93,Shaquille O'Neal,0
1992-93,Shawn Kemp,0
1993-94,Charles Barkley,0
1993-94,David Robinson,4
1993-94,Dennis Rodman,0
1993-94,Dominique Wilkins,0
1993-94,Gary Payton,0
1993-94,Hakeem Olajuwon,1
1993-94,John Stockton,0
1993-94,Karl Malone,0
1993-94,Kevin Johnson,0
1993-94,Kevin Willis,0
1993-94,Latrell Sprewell,0
1993-94,Mark Price,0
1993-94,Mookie Blaylock,0
1993-94,Patrick Ewing,0
1993-94,Scottie Pippen,4
1993-94,Shaquille O'Neal,0
1993-94,Shawn Kemp,0
1994-95,Anfernee Hardaway,0
1994-95,Cedric Ceballos,0
1994-95,Charles Barkley,0
1994-95,Clyde Drexler,0
1994-95,David Robinson,1
1994-95,Dennis Rodman,0
1994-95,Gary Payton,0
1994-95,Hakeem Olajuwon,0
1994-95,Jason Kidd,0
1994-95,John Stockton,0
1994-95,Karl Malone,4
1994-95,Michael Jordan,0
1994-95,Patrick Ewing,0
1994-95,Scottie Pippen,0
1994-95,Shaquille O'Neal,4
1995-96,Alonzo Mourning,0
1995-96,Anfernee Hardaway,5
1995-96,Charles Barkley,0
1995-96,David Robinson,5
1995-96,Dennis Rodman,0
1995-96,Gary Payton,0
1995-96,Grant Hill,0
1995-96,Hakeem Olajuwon,0
1995-96,John Stockton,0
1995-96,Karl Malone,0
1995-96,Magic Johnson,0
1995-96,Michael Jordan,1
1995-96,Mitch Richmond,0
1995-96,Scottie Pippen,0
1995-96,Shaquille O'Neal,0
1995-96,Shawn Kemp,0
1995-96,Terrell Brandon,0
1996-97,Allen Iverson,0
1996-97,Alonzo Mourning,0
1996-97,Anthony Mason,0
1996-97,Charles Barkley,0
1996-97,Dikembe Mutombo,0
1996-97,Gary Payton,0
1996-97,Glen Rice,0
1996-97,Grant Hill,5
1996-97,Hakeem Olajuwon,0
1996-97,John Stockton,0
1996-97,Karl Malone,1
1996-97,Kevin Johnson,0
1996-97,Michael Jordan,1
1996-97,Mitch Richmond,0
1996-97,Patrick Ewing,0
1996-97,Scottie Pippen,0
1996-97,Shaquille O'Neal,0
1996-97,Steve Smith,0
1996-97,Tim Hardaway,0
1996-97,Tom Gugliotta,0
1997-98,Antoine Walker,0
1997-98,David Robinson,0
1997-98,Gary Payton,5
1997-98,Glen Rice,0
1997-98,Grant Hill,0
1997-98,Jason Kidd,0
1997-98,John Stockton,0
1997-98,Karl Malone,1
1997-98,Michael Finley,0
1997-98,Michael Jordan,1
1997-98,Mitch Richmond,0
1997-98,Reggie Miller,0
1997-98,Rik Smits,0
1997-98,Rod Strickland,0
